Date,Observe,Train,Test,Valid
2010-12-05,3649.090000000001,3056.103515625,,
2010-12-12,3152.0499999999997,2351.41357421875,,
2010-12-19,2721.3199999999997,2235.5380859375,,
2010-12-26,2368.693333333333,1935.158203125,,
2011-01-02,1987.998,1782.0966796875,,
2011-01-09,1784.7549999999999,1479.8250732421875,,
2011-01-16,1511.805,1279.8353271484375,,
2011-01-23,1411.8633333333335,1183.3580322265625,,
2011-01-30,1339.5583333333334,1187.073486328125,,
2011-02-06,1073.521666666667,1164.043212890625,,
2011-02-13,1100.3883333333333,878.2447509765625,,
2011-02-20,1063.532,975.7775268554688,,
2011-02-27,1011.0880000000001,953.2026977539062,,
2011-03-06,1005.8233333333333,908.9049072265625,,
2011-03-13,1003.5333333333333,948.4093017578125,,
2011-03-20,1054.1039999999998,911.0804443359375,,
2011-03-27,1057.594,1004.5984497070312,,
2011-04-03,921.3083333333335,1019.3372192382812,,
2011-04-10,995.9149999999998,857.54541015625,,
2011-04-17,934.814,961.8478393554688,,
2011-04-24,820.7350000000001,898.881591796875,,
2011-05-01,954.2700000000001,773.7063598632812,,
2011-05-08,894.0233333333334,944.2086791992188,,
2011-05-15,868.4983333333331,835.249267578125,,
2011-05-22,1033.3880000000001,827.0650634765625,,
2011-05-29,1072.6399999999999,1023.527587890625,,
2011-06-05,1245.995,1020.5696411132812,,
2011-06-12,1582.34,1241.105224609375,,
2011-06-19,2160.45,1591.649658203125,,
2011-06-26,2738.56,2170.91552734375,,
2011-07-03,10124.69,2784.703369140625,,
2011-07-10,17510.82,10833.87890625,,
2011-07-17,25884.97,18348.12890625,,
2011-07-24,19097.75,26498.701171875,,
2011-07-31,26272.99,18367.720703125,,
2011-08-07,37774.68,26305.634765625,,
2011-08-14,36706.14,40209.6796875,,
2011-08-21,38751.29,37137.75,,
2011-08-28,48113.49,39861.16015625,,
2011-09-04,41610.9,47654.0078125,,
2011-09-11,37184.63,40115.296875,,
2011-09-18,30584.47,37326.22265625,,
2011-09-25,36667.77,29410.193359375,,
2011-10-02,44928.3,35442.28515625,,
2011-10-09,47132.79,46240.7578125,,
2011-10-16,36374.38,45045.9453125,,
2011-10-23,18409.45,32407.005859375,,
2011-10-30,10269.58,13283.9443359375,,
2011-11-06,8583.46,8329.986328125,,
2011-11-13,6740.14,8925.94140625,,
2011-11-20,6032.66,6117.97802734375,,
2011-11-27,5762.5,3315.85791015625,,
2011-12-04,4213.2300000000005,1186.61083984375,,
2011-12-11,3647.226000000001,738.09716796875,,
2011-12-18,3177.25,2315.404052734375,,
2011-12-25,2999.1400000000003,2464.990966796875,,
2012-01-01,2680.443333333333,2450.69580078125,,
2012-01-08,2644.806666666667,2381.92626953125,,
2012-01-15,2466.7183333333332,2180.02978515625,,
2012-01-22,2493.385,2103.571044921875,,
2012-01-29,2427.9133333333334,2235.377197265625,,
2012-02-05,2415.6380000000004,2252.97216796875,,
2012-02-12,2195.8383333333336,2229.576904296875,,
2012-02-19,2104.726666666667,2047.53662109375,,
2012-02-26,1942.368,1955.8985595703125,,
2012-03-04,1612.07,1829.489990234375,,
2012-03-11,1389.0699999999997,1470.274658203125,,
2012-03-18,1196.408,1273.7503662109375,,
2012-03-25,1052.6399999999999,1062.50732421875,,
2012-04-01,986.616,929.7511596679688,,
2012-04-08,1094.3183333333332,885.2013549804688,,
2012-04-15,1186.512,982.5316162109375,,
2012-04-22,1264.125,1087.8707275390625,,
2012-04-29,1226.6516666666666,1176.96875,,
2012-05-06,1242.9375,1145.927490234375,,
2012-05-13,1225.1050000000002,1179.0263671875,,
2012-05-20,1148.736666666667,1198.58837890625,,
2012-05-27,1192.745,1118.5947265625,,
2012-06-03,1178.4924999999998,1174.536376953125,,
2012-06-10,1193.38,1135.5015869140625,,
2012-06-17,1916.74,1146.61669921875,,
2012-06-24,2062.73,1948.912353515625,,
2012-07-01,2305.85,2030.9765625,,
2012-07-08,6406.25,2257.072021484375,,
2012-07-15,6361.03,6789.935546875,,
2012-07-22,8768.2,6346.76953125,,
2012-07-29,19287.54,8865.2333984375,,
2012-08-05,12649.565,20471.767578125,,
2012-08-12,24977.43,11824.4599609375,,
2012-08-19,15053.625,26137.740234375,,
2012-08-26,25711.76,14761.634765625,,
2012-09-02,22287.93,25442.19921875,,
2012-09-09,32303.775,24498.505859375,,
2012-09-16,30665.72,31037.427734375,,
